season,team_id,player_id,player_name,position_code,position_name,position_type,team_name,team_abbrev
2017,142,112526,Bartolo Colon,1,Pitcher,Pitcher,Minnesota Twins,MIN
2017,140,276351,Jason Grilli,1,Pitcher,Pitcher,Texas Rangers,TEX
2017,113,276520,Bronson Arroyo,1,Pitcher,Pitcher,Cincinnati Reds,CIN
2017,134,276542,Joaquín Benoit,1,Pitcher,Pitcher,Pittsburgh Pirates,PIT
2017,142,279571,Matt Belisle,1,Pitcher,Pitcher,Minnesota Twins,MIN
2017,147,282332,CC Sabathia,1,Pitcher,Pitcher,New York Yankees,NYY
2017,144,285079,R.A. Dickey,1,Pitcher,Pitcher,Atlanta Braves,ATL
2017,112,407793,John Lackey,1,Pitcher,Pitcher,Chicago Cubs,CHC
2017,109,407822,Jorge De La Rosa,1,Pitcher,Pitcher,Arizona Diamondbacks,AZ
2017,109,407845,Fernando Rodney,1,Pitcher,Pitcher,Arizona Diamondbacks,AZ
2017,116,408061,Francisco Rodríguez,1,Pitcher,Pitcher,Detroit Tigers,DET
2017,120,424144,Oliver Pérez,1,Pitcher,Pitcher,Washington Nationals,WSH
2017,120,425386,Jeremy Guthrie,1,Pitcher,Pitcher,Washington Nationals,WSH
2017,120,425492,Ryan Madson,1,Pitcher,Pitcher,Washington Nationals,WSH
2017,138,425794,Adam Wainwright,1,Pitcher,Pitcher,St. Louis Cardinals,STL
2017,109,425844,Zack Greinke,1,Pitcher,Pitcher,Arizona Diamondbacks,AZ
2017,110,429719,Edwin Jackson,1,Pitcher,Pitcher,Baltimore Orioles,BAL
2017,142,429722,Ervin Santana,1,Pitcher,Pitcher,Minnesota Twins,MIN
2017,115,430589,Chad Qualls,1,Pitcher,Pitcher,Colorado Rockies,COL
2017,120,430599,Joe Blanton,1,Pitcher,Pitcher,Washington Nationals,WSH
2017,111,430641,Blaine Boyer,1,Pitcher,Pitcher,Boston Red Sox,BOS
2017,146,430661,Dustin McGowan,1,Pitcher,Pitcher,Miami Marlins,MIA
2017,137,430912,Matt Cain,1,Pitcher,Pitcher,San Francisco Giants,SF
2017,140,430935,Cole Hamels,1,Pitcher,Pitcher,Texas Rangers,TEX
2017,118,432934,Chris Young,1,Pitcher,Pitcher,Kansas City Royals,KC
2017,133,433586,Santiago Casilla,1,Pitcher,Pitcher,Oakland Athletics,OAK
2017,136,433587,Félix Hernández,1,Pitcher,Pitcher,Seattle Mariners,SEA
2017,108,433589,Yusmeiro Petit,1,Pitcher,Pitcher,Los Angeles Angels,LAA
2017,116,434378,Justin Verlander,1,Pitcher,Pitcher,Detroit Tigers,DET
2017,141,434442,J.P. Howell,1,Pitcher,Pitcher,Toronto Blue Jays,TOR
2017,117,434538,Francisco Liriano,1,Pitcher,Pitcher,Houston Astros,HOU
2017,110,434622,Ubaldo Jiménez,1,Pitcher,Pitcher,Baltimore Orioles,BAL
