Player,player_url,Pos,TeamCurrently With,AgeAt Signing,Start,End,Yrs,Value,AAV,PosGroup
Yoshinobu Yamamoto,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/82039/yoshinobu-yamamoto,SP,LAD LAD,25,2024,2035,12,"$325,000,000","$27,083,333",SP
Gerrit Cole,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/13294/gerrit-cole,SP,NYY NYY,29,2020,2028,9,"$324,000,000","$36,000,000",SP
Max Fried,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/21155/max-fried,SP,NYY NYY,30,2025,2032,8,"$218,000,000","$27,250,000",SP
Corbin Burnes,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/20008/corbin-burnes,SP,ARI ARI,30,2025,2030,6,"$210,000,000","$35,000,000",SP
Jacob deGrom,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/15662/jacob-degrom,SP,TEX TEX,34,2023,2027,5,"$185,000,000","$37,000,000",SP
Blake Snell,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/18356/blake-snell,SP,LAD LAD,31,2025,2030,5,"$182,000,000","$36,400,000",SP
Aaron Nola,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/17684/aaron-nola,SP,PHI PHI,30,2024,2030,7,"$172,000,000","$24,571,429",SP
Garrett Crochet,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/48366/garrett-crochet,SP,BOS BOS,25,2026,2031,6,"$170,000,000","$28,333,333",SP
Carlos Rodon,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/16709/carlos-rodon,SP,NYY NYY,30,2023,2028,6,"$162,000,000","$27,000,000",SP
Tyler Glasnow,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/18345/tyler-glasnow,SP,LAD LAD,30,2024,2028,5,"$136,562,500","$27,312,500",SP
José Berríos,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/18945/jos%C3%A9-berr%C3%ADos,SP,TOR TOR,27,2022,2028,7,"$131,000,000","$18,714,286",SP
Zack Wheeler,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/11933/zack-wheeler,SP,PHI PHI,33,2025,2027,3,"$126,000,000","$42,000,000",SP
Robbie Ray,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/14151/robbie-ray,SP,SF SF,30,2022,2026,5,"$115,000,000","$23,000,000",SP
Kevin Gausman,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/13974/kevin-gausman,SP,TOR TOR,30,2022,2026,5,"$110,000,000","$22,000,000",SP
Yu Darvish,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/8680/yu-darvish,SP,SD SD,36,2023,2028,6,"$108,000,000","$18,000,000",SP
Luis Castillo,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/21248/luis-castillo,SP,SEA SEA,30,2023,2028,5,"$108,000,000","$21,600,000",SP
Joe Musgrove,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/18406/joe-musgrove,SP,SD SD,29,2023,2027,5,"$100,000,000","$20,000,000",SP
Logan Webb,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/28182/logan-webb,SP,SF SF,26,2024,2028,5,"$90,000,000","$18,000,000",SP
Lance McCullers,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/17540/lance-mccullers,SP,HOU HOU,28,2022,2026,5,"$85,000,000","$17,000,000",SP
Eduardo Rodriguez,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/13984/eduardo-rodriguez,SP,ARI ARI,30,2024,2028,4,"$80,000,000","$20,000,000",SP
Mitch Keller,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/17730/mitch-keller,SP,PIT PIT,27,2024,2028,5,"$77,000,000","$15,400,000",SP
Sean Manaea,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/19022/sean-manaea,SP,NYM NYM,32,2025,2027,3,"$75,000,000","$25,000,000",SP
Nathan Eovaldi,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/8761/nathan-eovaldi,SP,TEX TEX,34,2025,2027,3,"$75,000,000","$25,000,000",SP
Kodai Senga,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/80217/kodai-senga,SP,NYM NYM,29,2023,2027,5,"$75,000,000","$15,000,000",SP
Spencer Strider,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/48482/spencer-strider,SP,ATL ATL,24,2023,2029,6,"$75,000,000","$12,500,000",SP
Sonny Gray,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/14331/sonny-gray,SP,STL STL,34,2024,2027,3,"$75,000,000","$25,000,000",SP
Pablo López,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24585/pablo-l%C3%B3pez,SP,MIN MIN,27,2024,2027,4,"$73,500,000","$18,375,000",SP
Taijuan Walker,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/14342/taijuan-walker,SP,PHI PHI,30,2023,2026,4,"$72,000,000","$18,000,000",SP
Jameson Taillon,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/16579/jameson-taillon,SP,CHC CHC,31,2023,2026,4,"$68,000,000","$17,000,000",SP
Luis Severino,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/18091/luis-severino,SP,ATH ATH,30,2025,2027,3,"$67,000,000","$22,333,333",SP
Kyle Freeland,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/17685/kyle-freeland,SP,COL COL,28,2022,2027,5,"$64,500,000","$12,900,000",SP
Cristian Javier,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/35706/cristian-javier,SP,HOU HOU,25,2023,2027,5,"$64,000,000","$12,800,000",SP
Yusei Kikuchi,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/28282/yusei-kikuchi,SP,LAA LAA,33,2025,2027,3,"$63,675,000","$21,225,000",SP
Chris Bassitt,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/14068/chris-bassitt,SP,TOR TOR,33,2023,2025,3,"$63,000,000","$21,000,000",SP
Sandy Alcantara,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24440/sandy-alcantara,SP,MIA MIA,26,2022,2027,5,"$56,000,000","$11,200,000",SP
Jon Gray,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/14130/jon-gray,SP,TEX TEX,30,2022,2025,4,"$56,000,000","$14,000,000",SP
Miles Mikolas,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/11497/miles-mikolas,SP,STL STL,34,2023,2025,3,"$55,750,000","$18,583,333",SP
Nick Pivetta,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/21218/nick-pivetta,SP,SD SD,31,2025,2028,4,"$55,000,000","$13,750,000",SP
Brayan Bello,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/74775/brayan-bello,SP,BOS BOS,24,2024,2030,6,"$55,000,000","$9,166,667",SP
Shota Imanaga,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/86203/shota-imanaga,SP,CHC CHC,30,2024,2028,4,"$53,000,000","$13,250,000",SP
Hunter Greene,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/23211/hunter-greene,SP,CIN CIN,23,2023,2029,6,"$53,000,000","$8,833,333",SP
Michael Wacha,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/13219/michael-wacha,SP,KC KC,33,2025,2028,3,"$51,000,000","$17,000,000",SP
Antonio Senzatela,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/18376/antonio-senzatela,SP,COL COL,26,2022,2027,5,"$50,500,000","$10,100,000",SP
Tanner Bibee,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/73418/tanner-bibee,SP,CLE CLE,25,2025,2030,5,"$48,000,000","$9,600,000",SP
Seth Lugo,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/18402/seth-lugo,SP,KC KC,35,2026,2028,2,"$46,000,000","$23,000,000",SP
Seth Lugo,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/18402/seth-lugo,SP,KC KC,34,2024,2025,3,"$45,000,000","$15,000,000",SP
Brandon Pfaadt,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/48505/brandon-pfaadt,SP,ARI ARI,26,2026,2032,5,"$45,000,000","$9,000,000",SP
Steven Matz,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/16106/steven-matz,SP,BOS BOS,30,2022,2025,4,"$44,000,000","$11,000,000",SP
Zach Eflin,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/19954/zach-eflin,SP,BAL BAL,28,2023,2025,3,"$40,000,000","$13,333,333",SP
Tyler Anderson,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/16523/tyler-anderson,SP,LAA LAA,32,2023,2025,3,"$39,000,000","$13,000,000",SP
Chris Sale,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/7278/chris-sale,SP,ATL ATL,34,2024,2026,2,"$38,000,000","$19,000,000",SP
Clay Holmes,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/21208/clay-holmes,SP,NYM NYM,31,2025,2027,3,"$38,000,000","$12,666,667",SP
Jack Flaherty,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/17710/jack-flaherty,SP,DET DET,29,2025,2026,2,"$35,000,000","$17,500,000",SP
Frankie Montas,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/16515/frankie-montas,SP,NYM NYM,31,2025,2026,2,"$34,000,000","$17,000,000",SP
Yariel Rodriguez,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/87490/yariel-rodriguez,SP,TOR TOR,26,2024,2028,5,"$32,000,000","$6,400,000",SP
Jeffrey Springs,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/27819/jeffrey-springs,SP,ATH ATH,30,2023,2027,4,"$31,000,000","$7,750,000",SP
Reynaldo López,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/20890/reynaldo-l%C3%B3pez,SP,ATL ATL,30,2025,2027,3,"$30,000,000","$10,000,000",SP
Matthew Boyd,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/17903/matthew-boyd,SP,CHC CHC,33,2025,2027,2,"$29,000,000","$14,500,000",SP
Shane Bieber,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/20678/shane-bieber,SP,TOR TOR,29,2025,2026,2,"$26,000,000","$13,000,000",SP
Jordan Montgomery,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/21715/jordan-montgomery,SP,MIL MIL,31,2024,2025,1,"$25,000,000","$25,000,000",SP
Cristopher Sanchez,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/35694/cristopher-sanchez,SP,PHI PHI,27,2025,2030,4,"$22,500,000","$5,625,000",SP
Tyler Mahle,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24414/tyler-mahle,SP,TEX TEX,29,2024,2025,2,"$22,000,000","$11,000,000",SP
Nick Martinez,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/15682/nick-martinez,SP,CIN CIN,34,2025,2025,1,"$21,050,000","$21,050,000",SP
Aaron Ashby,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/26154/aaron-ashby,SP,MIL MIL,24,2023,2029,5,"$20,500,000","$4,100,000",SP
Germán Márquez,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/18355/germ%C3%A1n-m%C3%A1rquez,SP,COL COL,28,2024,2025,2,"$20,000,000","$10,000,000",SP
Garrett Whitlock,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24250/garrett-whitlock,SP,BOS BOS,26,2023,2028,4,"$18,750,000","$4,687,500",SP
Patrick Sandoval,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/32713/patrick-sandoval,SP,BOS BOS,28,2025,2026,2,"$18,250,000","$9,125,000",SP
Framber Valdez,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/27984/framber-valdez,SP,HOU HOU,31,2025,2025,1,"$18,000,000","$18,000,000",SP
Merrill Kelly,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/28232/merrill-kelly,SP,TEX TEX,33,2023,2025,2,"$18,000,000","$9,000,000",SP
Max Scherzer,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/5166/max-scherzer,SP,TOR TOR,40,2025,2025,1,"$15,500,000","$15,500,000",SP
Freddy Peralta,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24582/freddy-peralta,SP,MIL MIL,23,2020,2026,5,"$15,500,000","$3,100,000",SP
Alex Cobb,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/8473/alex-cobb,SP,DET DET,37,2025,2025,1,"$15,000,000","$15,000,000",SP
Justin Verlander,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/310/justin-verlander,SP,SF SF,41,2025,2025,1,"$15,000,000","$15,000,000",SP
Trevor Williams,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/21048/trevor-williams,SP,WSH WSH,32,2025,2026,2,"$14,000,000","$7,000,000",SP
Dylan Cease,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/28208/dylan-cease,SP,SD SD,29,2025,2025,1,"$13,750,000","$13,750,000",SP
Zac Gallen,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/20168/zac-gallen,SP,ARI ARI,29,2025,2025,1,"$13,500,000","$13,500,000",SP
Cole Ragans,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/19986/cole-ragans,SP,KC KC,26,2025,2027,3,"$13,250,000","$4,416,667",SP
Tomoyuki Sugano,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/95960/tomoyuki-sugano,SP,BAL BAL,35,2025,2025,1,"$13,000,000","$13,000,000",SP
Chris Paddack,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/28169/chris-paddack,SP,DET DET,26,2023,2025,3,"$12,525,000","$4,175,000",SP
Michael Soroka,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/17643/michael-soroka,SP,CHC CHC,27,2025,2025,1,"$9,000,000","$9,000,000",SP
Ranger Suarez,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24553/ranger-suarez,SP,PHI PHI,29,2025,2025,1,"$8,800,000","$8,800,000",SP
Drew Rasmussen,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/26218/drew-rasmussen,SP,TB TB,29,2025,2027,2,"$8,500,000","$4,250,000",SP
Aaron Civale,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/20116/aaron-civale,SP,CHC CHC,29,2025,2025,1,"$8,000,000","$8,000,000",SP
Nestor Cortes,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24678/nestor-cortes,SP,SD SD,30,2025,2025,1,"$7,600,000","$7,600,000",SP
Clayton Kershaw,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/5273/clayton-kershaw,SP,LAD LAD,36,2025,2025,1,"$7,500,000","$7,500,000",SP
Colin Rea,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/18111/colin-rea,SP,CHC CHC,35,2026,2027,1,"$6,500,000","$6,500,000",SP
Zack Littell,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24558/zack-littell,SP,CIN CIN,29,2025,2025,1,"$5,720,000","$5,720,000",SP
Griffin Canning,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/23256/griffin-canning,SP,NYM NYM,28,2025,2025,1,"$4,250,000","$4,250,000",SP
Wade Miley,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/8797/wade-miley,SP,CIN CIN,38,2025,2025,1,"$2,500,000","$2,500,000",SP
Dustin May,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/19946/dustin-may,SP,BOS BOS,27,2025,2025,1,"$2,135,000","$2,135,000",SP
Brad Keller,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24672/brad-keller,SP,CHC CHC,29,2025,2025,1,"$1,500,000","$1,500,000",SP
Adrian Houser,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/18235/adrian-houser,SP,TB TB,32,2025,2025,1,"$1,375,000","$1,375,000",SP
Patrick Corbin,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/11006/patrick-corbin,SP,TEX TEX,35,2025,2025,1,"$1,100,000","$1,100,000",SP
Jackson Jobe,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/73265/jackson-jobe,SP,DET DET,23,2026,2026,1,"$820,000","$820,000",SP
Brandon Pfaadt,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/48505/brandon-pfaadt,SP,ARI ARI,25,2025,2025,1,"$799,400","$799,400",SP
Tyler Alexander,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/28857/tyler-alexander,SP,CHW CHW,30,2025,2025,1,"$760,000","$760,000",SP
Walker Buehler,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/17639/walker-buehler,SP,PHI PHI,31,2025,2025,1,"$760,000","$760,000",SP
Josh Hader,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/21236/josh-hader,RP,HOU HOU,29,2024,2028,5,"$95,000,000","$19,000,000",RP
Tanner Scott,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24484/tanner-scott,RP,LAD LAD,30,2025,2028,4,"$72,000,000","$18,000,000",RP
Raisel Iglesias,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/15416/raisel-iglesias,RP,ATL ATL,31,2022,2025,4,"$58,000,000","$14,500,000",RP
Jordan Hicks,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/20529/jordan-hicks,RP,BOS BOS,27,2024,2027,4,"$44,000,000","$11,000,000",RP
Rafael Montero,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/15709/rafael-montero,RP,DET DET,32,2023,2025,3,"$34,500,000","$11,500,000",RP
Robert Stephenson,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/14095/robert-stephenson,RP,LAA LAA,30,2024,2026,3,"$33,000,000","$11,000,000",RP
Jeff Hoffman,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/17686/jeff-hoffman,RP,TOR TOR,32,2025,2027,3,"$33,000,000","$11,000,000",RP
Taylor Rogers,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/18416/taylor-rogers,RP,CHC CHC,32,2023,2025,3,"$33,000,000","$11,000,000",RP
Yuki Matsui,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/86416/yuki-matsui,RP,SD SD,28,2024,2028,5,"$28,000,000","$5,600,000",RP
Joe Jimenez,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/21338/joe-jimenez,RP,ATL ATL,28,2024,2026,3,"$26,000,000","$8,666,667",RP
Carlos Estevez,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/18375/carlos-estevez,RP,KC KC,32,2025,2027,2,"$22,200,000","$11,100,000",RP
Jose Alvarado,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/21172/jose-alvarado,RP,PHI PHI,27,2023,2026,3,"$22,000,000","$7,333,333",RP
Blake Treinen,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/16022/blake-treinen,RP,LAD LAD,36,2025,2026,2,"$22,000,000","$11,000,000",RP
A.J. Minter,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/20528/aj-minter,RP,NYM NYM,31,2025,2026,2,"$22,000,000","$11,000,000",RP
Emmanuel Clase,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/32706/emmanuel-clase,RP,CLE CLE,23,2022,2028,5,"$20,000,000","$4,000,000",RP
Justin Martinez,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/80129/justin-martinez,RP,ARI ARI,23,2025,2031,5,"$18,000,000","$3,600,000",RP
